Lewis, C.S.|The Screwtape Letters|General Fiction / GF|1942-011942|04.5
Estes, Eleanor|The Middle Moffat|General Fiction / GF|1942-011942|04
Edmonds, Walter D.|The Matchlock Gun|General Fiction / GF|1942-011942|03
McSwigan, Marie|Snow Treasure|General Fiction / GF|1942-011942|04
Burton, Virginia Lee|The Little House|General Fiction / GF|1942-011942|05
Forbes, Esther|Johnny Tremain|Historical / H|1943-011943|04
Wilder, Laura Ingalls|These Happy Golden Years|Historical / H|1943-011943|04.5
De Saint-Exupery, Antoine|The Little Prince|General Fiction / GF|1943-011943|03
Sauer, Julia L.|Fog Magic|General Fiction / GF|1943-01Jan-1943|03
Yates, Elizabeth|Mountain Born|General Fiction / GF|1943-011943|04
Thurber, James|Many Moons|General Fiction / GF|1943-10Oct-1943|04
Brown, Margaret Wise|A Child's Good Night Book|General Fiction / GF|1943-011943|04
Estes, Eleanor|The Hundred Dresses|General Fiction / GF|1944-011944|05
Farley, Walter|The Black Stallion|General Fiction / GF|1944-10Oct-1944|03.5
Dalgliesh, Alice|The Silver Pencil|General Fiction / GF|1944-011944|03
de Angeli, Marguerite|Yonie Wondernose|General Fiction / GF|1944-011944|04.5
Rogers, Joel Townsley|The Red Right Hand|Suspense / S|1945-011945|04
Graham, Winston|Ross Poldark|Historical / H|1945-011945|04
Steinbeck, John|The Pearl: A Novella|General Fiction / GF|1945-01Jan-1945|03
Farley, Walter|The Black Stallion Returns|General Fiction / GF|1945-10Oct-1945|03
Henry, Marguerite|Justin Morgan Had a Horse|Historical / H|1945-011945|04
Lawson, Robert|Rabbit Hill|General Fiction / GF|1945-011945|04
Means, Florence Crannell|The Moved-Outers|General Fiction / GF|1945-011945|04
Petersham, Maud Fuller; Petersham, Miska|The Rooster Crows: A Book of American Rhymes and Jingles|Fantasy / F|1945-011945|03
Reyher, Becky|My Mother Is the Most Beautiful Woman in the World|General Fiction / GF|1945-011945|00
Orwell, George|Animal Farm|Fantasy / F|1946-011946|04
Bailey, Carolyn Sherwin|Miss Hickory|General Fiction / GF|1946-011946|03.5
Lenski, Lois|Strawberry Girl|General Fiction / GF|1946-011946|03.5
Fisher, Cyrus|The Avion My Uncle Flew|General Fiction / GF|1946-011946|04
Buff, Mary; Buff, Conrad|Big Tree|General Fiction / GF|1946-011946|01
MacDonald, Golden|The Little Island|General Fiction / GF|1946-09Sep-1946|04
Smith, Betty|A Tree Grows in Brooklyn|Historical / H|1947-10Oct-1947|05
Eustis, Helen|The Horizontal Man|Suspense / S|1947-011947|04
DuBois, William Pene|The Twenty-one Balloons|Historical / H|1947-011947|03.5
Henry, Marguerite|Misty of Chincoteague|General Fiction / GF|1947-011947|04.5
Aesop|Aesop's Fables|General Fiction / GF|1947-01Jan-1947|04
Courlander, Harold|The Cow-Tail Switch, and Other West African Stories|General Fiction / GF|1947-011947|04
Bishop, Claire Huchet|Pancakes-Paris|General Fiction / GF|1947-011947|04.5
Treffinger, Carolyn|Li Lun, Lad of Courage|General Fiction / GF|1947-011947|00
Slobodkina, Esphyr|Caps for Sale|General Fiction / GF|1947-02Feb-1947|03
Brown, Marcia|Stone Soup|General Fiction / GF|1947-02Feb-1947|05
Tresselt, Alvin R.|White Snow, Bright Snow|General Fiction / GF|1947-04Apr-1947|03
Dr. Seuss|McElligot's Pool|General Fiction / GF|1947-09Sep-1947|05
Brown, Fredric|The Fabulous Clipjoint|Mystery / M|1948-011948|04
Henry, Marguerite|King of the Wind|Historical / H|1948-011948|05
Smith, Dodie|I Capture the Castle|General Fiction / GF|1948-011948|04
Gannett, Ruth Stiles|My Father's Dragon|General Fiction / GF|1948-011948|03
Holling, Holling Clancy|Seabird|General Fiction / GF|1948-011948|03.5
McCloskey, Robert|Blueberries for Sal|General Fiction / GF|1948-10Oct-1948|04
Hader, Berta; Hader, Elmer|The Big Snow|General Fiction / GF|1948-011948|04
Wojciechowski, Susan|The Christmas Miracle of Jonathan Toomey|General Fiction / GF|1948-01Jan-1948|05
Krasner, William|Walk the Dark Streets|Mystery / M|1949-011949|00
Marsh, Ngaio|A Wreath for Rivera / Swing, Brother, Swing|Police/Detective/Law Enforcement / PD|1949-011949|04
Guthrie, A.B., Jr.|The Way West|Historical / H|1949-011949|04
Henry, Marguerite|Sea Star: Orphan of Chincoteague|General Fiction / GF|1949-011949|04
Caudill, Rebecca|Tree of Freedom|General Fiction / GF|1949-011949|03.5
Krauss, Ruth|Happy Day|General Fiction / GF|1949-02Feb-1949|03
Brown, Margaret Wise|Two Little Trains|General Fiction / GF|1949-011949|05
Politi, Leo|Song of the Swallows|General Fiction / GF|1949-011949|04
Dr. Seuss|Bartholomew and the Oobleck|Fantasy / F|1949-10Oct-1949|05
Greene, Graham|The Third Man|Suspense / S|1950-01Jan-1950|04
Highsmith, Patricia|Strangers on a Train|Suspense / S|1950-011950|03.5
Richter, Conrad|The Town|General Fiction / GF|1950-011950|04
Algren, Nelson|The Man with the Golden Arm|General Fiction / GF|1950-011950|04
Milhous, Katherine|The Egg Tree|General Fiction / GF|1950-011950|02.5
Brown, Marcia|Dick Whittington and His Cat|General Fiction / GF|1950-011950|03.5
Dr. Seuss|If I Ran the Zoo|General Fiction / GF|1950-10Oct-1950|05
Gilbert, Michael|Death Has Deep Roots|Police/Detective/Law Enforcement / PD|1951-011951|04.5
McMullen, Mary|Strangle Hold|Amateur Sleuth / AS|1951-011951|00
Wouk, Herman|The Caine Mutiny|Suspense / S|1951-011951|04.5
Cleary, Beverly|Ellen Tebbits|General Fiction / GF|1951-011951|05
Sauer, Julia L.|The Light at Tern Rock|General Fiction / GF|1951-09Sep-1951|03.5
Kalashnikoff, Nicholas|The Defender|General Fiction / GF|1951-011951|00
Lipkind, Will; Nicolas, Mordvinoff|Finders Keepers|General Fiction / GF|1951-011951|02.5
Holling, Holling Clancy|Minn of the Mississippi|General Fiction / GF|1951-03Mar-1951|03.5
DuBois, William Pene|Bear Party|General Fiction / GF|1951-011951|05
Ellison, Ralph|Invisible Man|Action Adventure / AA|1952-01Jan-1952|03
Jones, James|From Here to Eternity|Action Adventure / AA|1952-011952|04
Steinbeck, John|East of Eden|General Fiction / GF|1952-09Sep-1952|05
Hemingway, Ernest|Old Man And The Sea|General Fiction / GF|1952-011952|03.5
Estes, Eleanor|Ginger Pye|General Fiction / GF|1952-011952|04
Clark, Ann Nolan|Secret of the Andes|General Fiction / GF|1952-011952|03
White, E.B.|Charlotte's Web|General Fiction / GF|1952-06Jun-1952|03.5
McGraw, Eloise Jarvis|Moccassin Trail|Historical / H|1952-011952|04
Weil, Ann|Red Sails to Capri|General Fiction / GF|1952-011952|03.5
Dalgliesh, Alice|The Bears on Hemlock Mountain|General Fiction / GF|1952-011952|04
McCloskey, Robert|One Morning in Maine|General Fiction / GF|1952-05May-1952|04
Ward, Lynd|The Biggest Bear|General Fiction / GF|1952-07Jul-1952|03.5
Zolotow, Charlotte|Storm Book|General Fiction / GF|1952-06Jun-1952|03
Galdone, Paul|Puss In Boots|Fantasy / F|1952-011952|03
Eichenberg, Fritz|Ape in a Cape: An Alphabet of Odd Animals|General Fiction / GF|1952-06Jun-1952|03
Leighton, Lee|Law Man|Historical / H|1953-011953|03
Bester, Alfred|The Demolished Man|Science Fiction / SF|1953-011953|04
Bradbury, Ray|Fahrenheit 451|Science Fiction / SF|1953-011953|04
Lewis, C.S.|The Silver Chair|Fantasy / F|1953-011953|04
Bellow, Saul|The Adventures of Augie March|General Fiction / GF|1953-09Sep-1953|03.5
Dahl, Roald|Someone Like You|General Fiction / GF|1953-06Jun-1953|03.5
De Jong, Meindert|Hurry Home, Candy|General Fiction / GF|1953-01Jan-1953|05
De Jong, Meindert|Shadrach|General Fiction / GF|1953-011953|03
Bemelmans, Ludwig|Madeline's Rescue|General Fiction / GF|1953-04Apr-1953|03.5
Buff, Mary; Buff, Conrad|Magic Maize|General Fiction / GF|1953-011953|01
Chrisman, Arthur Bowie|Shen of the Sea|General Fiction / GF|1953-011953|03.5
Bishop, Claire Huchet|All Alone|General Fiction / GF|1953-011953|04
Krauss, Ruth|Very Special House|General Fiction / GF|1953-01Jan-1953|04
Golding, William|Lord of the Flies|General Fiction / GF|1954-011954|03
Jay, Charlotte|Beat Not the Bones|Suspense / S|1954-011954|04
Levin, Ira|A Kiss Before Dying|Suspense / S|1954-011954|04
Overholser, Wayne D.|The Violent Land|Historical / H|1954-011954|00
Matheson, Richard|I Am Legend|Horror / HORR|1954-011954|04
Cleary, Beverly|Henry and Ribsy|General Fiction / GF|1954-011954|04.5
Faulkner, William|A Fable|General Fiction / GF|1954-011954|04
Dalgliesh, Alice|The Courage of Sarah Noble|Historical / H|1954-011954|04
Krumgold, Joseph|And Now Miguel|General Fiction / GF|1954-011954|03.5
De Jong, Meindert|The Wheel on the School|General Fiction / GF|1954-10Oct-1954|04
Ullman, James R.|Banner in the Sky|General Fiction / GF|1954-011954|03
Dalgliesh, Alice|The Thanksgiving Story|General Fiction / GF|1954-011954|04
Boston, Lucy M. / Boston, L.M.|The Children of Green Knowe|General Fiction / GF|1954-01Jan-1954|04
Brown, Marcia|Cinderella|General Fiction / GF|1954-011954|03.5
Chandler, Raymond|The Long Goodbye|Suspense / S|1955-011955|04.5
O'Hara, John|Ten North Frederick|Suspense / S|1955-11Nov-1955|05
Tolkien, J.R.R.|The Return of the King|Epic Fantasy / EF|1955-011955|05
Kantor, Mackinlay|Andersonville|Historical / H|1955-011955|04
Latham, Jean Lee|Carry On, Mr. Bowditch|Historical / H|1955-011955|04
Ets, Marie Hall|Play With Me|General Fiction / GF|1955-08Aug-1955|04
Yashima, Taro|Crow Boy|General Fiction / GF|1955-11Nov-1955|04
Langstaff, John|Frog Went A-Courtin'|General Fiction / GF|1955-04Apr-1955|03.5
Heinlein, Robert A.|Double Star|Science Fiction / SF|1956-011956|04.5
Gipson, Fred|Old Yeller|General Fiction / GF|1956-07Jul-1956|03.5
Mishima, Yukio|Sound of Waves|General Fiction / GF|1956-06Jun-1956|04
Sorensen, Virginia|Miracles on Maple Hill|General Fiction / GF|1956-011956|04
Forster, E.M.|Aspects of the Novel|General Fiction / GF|1956-09Sep-1956|04
Enright, Elizabeth|Gone-Away Lake|General Fiction / GF|1956-011956|04.5
De Jong, Meindert|The House of Sixty Fathers|General Fiction / GF|1956-01Jan-1956|04
Tudor, Tasha|1 Is One|General Fiction / GF|1956-011956|04
Druon, Maurice|The Iron King/The Ardent Infidels|Historical / H|1956-01Jan-1956|05
Cushman, Dan|The Silver Mountain|Historical / H|1957-011957|00
Kelton, Elmer|Buffalo Wagons|Historical / H|1957-011957|05
Buckhanon, Kalisha|Upstate|General Fiction / GF|1957-08Aug-1957|04
Kerouac, Jack|On the Road|General Fiction / GF|1957-09Sep-1957|05
Agee, James|Death in the Family|General Fiction / GF|1957-011957|04
Steinbeck, John|The Short Reign of Pippin IV|General Fiction / GF|1957-01Jan-1957|05
Symons, Julian|Colour of Murder|Mystery / M|1957-011957|05
Keith, Harold|Rifles for Watie|Historical / H|1957-011957|04
Cleary, Beverly|Henry and the Paper Route|General Fiction / GF|1957-06Jun-1957|04
Lawson, Robert|The Great Wheel|General Fiction / GF|1957-011957|04
Titus, Eve|Anatole and the Cat|General Fiction / GF|1957-011957|04
St. Martin's Press|The Year's Best Science Fiction|General Fiction / GF|1957-09Sep-1957|03
Anonymous|Beowulf|General Fiction / GF|1957-06Jun-1957|04.5
Freeman, Don|Fly High, Fly Low|General Fiction / GF|1957-08Aug-1957|04
Davis, Dorothy Salisbury|A Gentleman Called|Suspense / S|1958-011958|04
Davidson, Avram|Or All the Seas With Oysters|Science Fiction / SF|1958-011958|05
Leiber, Fritz|The Big Time|Science Fiction / SF|1958-011958|04
Capote, Truman|Breakfast at Tiffany's|General Fiction / GF|1958-10Oct-1958|03.5
Greene, Graham|Our Man in Havana|General Fiction / GF|1958-11Nov-1958|03.5
Cheever, John|The Wapshot Scandal|General Fiction / GF|1958-011958|05
Taylor, Robert Lewis|The Travels of Jaimie McPheeters|Historical / H|1958-011958|04
Speare, Elizabeth George|The Witch of Blackbird Pond|General Fiction / GF|1958-01Jan-1958|04
Pearce, Philippa|Tom's Midnight Garden|Fantasy / F|1958-011958|05
Steele, William O.|The Perilous Road|Historical / H|1958-011958|04
De Jong, Meindert|Along Came a Dog|General Fiction / GF|1958-06Jun-1958|05
Bond, Michael|A Bear Called Paddington|General Fiction / GF|1958-011958|03.5
Kalnay, Francis|Chucaro: Wild Pony of the Pampa|General Fiction / GF|1958-011958|02
Yashima, Taro|Umbrella|General Fiction / GF|1958-04Apr-1958|03.5
Joslin, Sesyle|What Do You Say, Dear?|General Fiction / GF|1958-011958|04
Cooney, Barbara|Chanticleer and the Fox|General Fiction / GF|1958-011958|03
Johnson, Crockett|Harold and the Purple Crayon|Action Adventure / AA|1958-02Feb-1958|04
McCloskey, Robert|Time of Wonder|General Fiction / GF|1958-01Jan-1958|04
Ellin, Stanley|The Eighth Circle|Suspense / S|1959-011959|04.5
Nye, Nelson|Long Run|Historical / H|1959-011959|00
Blish, James|A Case of Conscience|Science Fiction / SF|1959-011959|03
Prebble, John|The Buffalo Soldiers|Historical / H|1959-011959|04
Malamud, Bernard|The Magic Barrel|General Fiction / GF|1959-011959|04
George, Jean Craighead|My Side of the Mountain|General Fiction / GF|1959-011959|04
James, Will|Smoky the Cowhorse|Historical / H|1959-011959|04
Bond, Michael|More About Paddington|General Fiction / GF|1959-011959|05
Kendall, Carol|Gammage Cup|Fantasy / F|1959-10Oct-1959|04
Udry, Janice May|The Moon Jumpers|General Fiction / GF|1959-04Apr-1959|04
Lee, Harper|To Kill a Mockingbird|Historical / H|1960-011960|04
Shannon, Dell|Case Pending|Police/Detective/Law Enforcement / PD|1960-011960|05
Brown, Will C.|The Nameless Breed|Historical / H|1960-011960|00
Heinlein, Robert A.|Starship Troopers|Science Fiction / SF|1960-06Jun-1960|04
Symons, Julian|The Progress of a Crime|Mystery / M|1960-011960|01
Henry, Will|From Where the Sun Now Stands|Historical / H|1960-011960|04
Roth, Philip|Goodbye, Columbus|General Fiction / GF|1960-011960|04
Sinclair, Upton|The Jungle|General Fiction / GF|1960-11Nov-1960|05
Krumgold, Joseph|Onion John|General Fiction / GF|1960-011960|04
Selden, George|The Cricket in Times Square|General Fiction / GF|1960-01Jan-1960|04
Lionni, Leo|Inch by Inch|General Fiction / GF|1960-011960|04
Robbins, Ruth|Baboushka and the Three Kings|Fantasy / F|1960-10Oct-1960|02
Heller, Joseph|Catch-22|General Fiction / GF|1961-11Nov-1961|04.5
Blanc, Suzanne|The Green Stone|Suspense / S|1961-011961|00
Kelly, Mary (1)|The Spoilt Kill|Suspense / S|1961-011961|05
MacDonald, Ross|The Wycherly Woman|Private Investigator / PI|1961-011961|03
Burnford, Sheila|Incredible Journey|Action Adventure / AA|1961-03Mar-1961|04.5
Lutz, Giles A.|The Honyocker|Historical / H|1961-011961|00
Miller, Walter M., Jr.|A Canticle for Leibowitz|Science Fiction / SF|1961-011961|04.5
O'Connor, Edwin|The Edge of Sadness|General Fiction / GF|1961-06Jun-1961|05
Percy, Walker|Moviegoer|General Fiction / GF|1961-05May-1961|04
Rawls, Wilson|Where the Red Fern Grows|General Fiction / GF|1961-011961|04.5
Speare, Elizabeth George|Bronze Bow|General Fiction / GF|1961-06Jun-1961|04.5
Juster, Norton|The Phantom Tollbooth|General Fiction / GF|1961-09Sep-1961|03.5
O'Dell, Scott|Island of the Blue Dolphins|General Fiction / GF|1961-011961|04
Stoltz, Mary|Belling The Tiger|General Fiction / GF|1961-011961|01
Brown, Marcia|Once a Mouse|General Fiction / GF|1961-011961|00
Minarik, Else Holmelund|Little Bear's Visit|General Fiction / GF|1961-02Feb-1961|00
Spier, Peter|Fox Went Out on a Chilly Night: An Old Song|General Fiction / GF|1961-011961|04
Peters, Ellis|Death and the Joyful Woman|Police/Detective/Law Enforcement / PD|1962-011962|03
Ambler, Eric|The Light of Day|Suspense / S|1962-011962|04
MacDonald, Ross|The Zebra-Striped Hearse|Private Investigator / PI|1962-011962|03
Marric, J.J.|Gideon's Fire|Police/Detective/Law Enforcement / PD|1962-011962|04
Shannon, Dell|Knave of Hearts|Police/Detective/Law Enforcement / PD|1962-011962|00
Bradbury, Ray|Something Wicked This Way Comes|Fantasy / F|1962-06Jun-1962|04
Dick, Philip K.|The Man in the High Castle|Science Fiction / SF|1962-01Jan-1962|03
Heinlein, Robert A.|Stranger in a Strange Land|Science Fiction / SF|1962-011962|04.5
Vance, Jack|The Dragon Masters|Science Fiction / SF|1962-011962|04
Faulkner, William|Reivers|General Fiction / GF|1962-06Jun-1962|04
Keats, Ezra Jack|The Snowy Day|General Fiction / GF|1962-11Nov-1962|04
Zolotow, Charlotte|Mr. Rabbit and the Lovely Present|General Fiction / GF|1962-10Oct-1962|03
Langton, Jane|The Diamond in the Window|General Fiction / GF|1962-06Jun-1962|04.5
Hirschberg, Cornelius|Florentine Finish|Suspense / S|1963-011963|00
Le Carre, John|The Spy Who Came in from the Cold|Espionage / E|1963-011963|04
Brackett, Leigh|Follow the Free Wind|Historical / H|1963-011963|00
Fish, Robert L.|The Fugitive|Suspense / S|1963-011963|00
Henry, Will|Gates of the Mountains|Historical / H|1963-011963|00
Updike, John|Centaur|General Fiction / GF|1963-02Feb-1963|04
Lionni, Leo|Swimmy|General Fiction / GF|1963-04Apr-1963|05
Neville, Emily Cheney|It's Like This, Cat|General Fiction / GF|1963-05May-1963|03
North, Sterling|Rascal|General Fiction / GF|1963-011963|04
Wier, Ester|The Loner|General Fiction / GF|1963-011963|04
Cross, Amanda|In the Last Analysis|Amateur Sleuth / AS|1964-011964|03.5
Deighton, Len|Funeral in Berlin|Espionage / E|1964-011964|03.5
Keating, H.R.F.|The Perfect Murder|Police/Detective/Law Enforcement / PD|1964-011964|02.5
Kemelman, Harry|Friday the Rabbi Slept Late|Amateur Sleuth / AS|1964-011964|04
Fleming, Ian|On Her Majesty's Secret Service|Espionage / E|1964-07Jul-1964|04.5
Ballard, Todhunter|Gold in California!|Historical / H|1964-011964|00
Capps, Benjamin|Sam Chance|Historical / H|1964-011964|00
Fisher, Vardis|Mountain Man|Historical / H|1964-011964|04
Dickson, Gordon R.|Soldier, Ask Not|Space Opera / SO|1964-011964|04
Fleming, Ian|Chitty Chitty Bang Bang|Fantasy / F|1964-011964|04
Leiber, Fritz|The Wanderer|Science Fiction / SF|1964-011964|04
Capps, Benjamin|The Trail to Ogallala|Historical / H|1964-011964|00
Grau, Shirley Ann|The Keepers of the House|General Fiction / GF|1964-02Feb-1964|04
Bellow, Saul|Herzog|General Fiction / GF|1964-011964|04
Cleary, Beverly|Ribsy|General Fiction / GF|1964-06Jun-1964|04.5
Wojciechowska, Maia|Shadow of a Bull|General Fiction / GF|1964-011964|04
De Regniers, Beatrice Schenk|May I Bring a Friend?|General Fiction / GF|1964-01Jan-1964|03.5
Hoban, Russell|Bread and Jam for Frances|General Fiction / GF|1964-02Feb-1964|02
Sendak, Maurice|Where the Wild Things Are|General Fiction / GF|1964-01Jan-1964|04
Scheer, Julian|Rain Makes Applesauce|General Fiction / GF|1964-011964|04.5
Ball, John Dudley|In the Heat of the Night|Mystery / M|1965-011965|03.5
Francis, Dick|Odds Against|Amateur Sleuth / AS|1965-011965|04.5
Hall, Adam|The Berlin Memorandum / The Quiller Memorandum|Espionage / E|1965-011965|04.5
Le Carre, John|The Looking Glass War|Espionage / E|1965-06Jun-1965|03.5
MacDonald, Ross|The Far Side of the Dollar|Private Investigator / PI|1965-011965|04
Herbert, Frank|Dune|Space Opera / SO|1965-011965|04.5
Alexander, Lloyd|The Black Cauldron|Fantasy / F|1965-011965|04
Jarrell, Randall|The Animal Family|General Fiction / GF|1965-011965|04.5
Hunt, Irene|Across Five Aprils|Historical / H|1965-011965|03
Capote, Truman|In Cold Blood|Suspense / S|1965-011965|04.5
Cleary, Beverly|The Mouse and the Motorcycle|General Fiction / GF|1965-06Jun-1965|04
De Trevino, Elizabeth Borton|I, Juan de Pareja|General Fiction / GF|1965-01Jan-1965|04
Stolz, Mary|The Noonday Friends|General Fiction / GF|1965-011965|04
Tresselt, Alvin R.|Hide and Seek Fog|General Fiction / GF|1965-05May-1965|03
Leodhas, Sorche Nic|Always Room for One More|General Fiction / GF|1965-10Oct-1965|03
Duncan, Lois|Ransom|Suspense / S|1966-011966|03
Francis, Dick|Flying Finish|Suspense / S|1966-011966|04.5
Freeling, Nicolas|The King of the Rainy Country|Police/Detective/Law Enforcement / PD|1966-011966|00
MacDonald, Ross|Black Money|Private Investigator / PI|1966-011966|02.5
Marsh, Ngaio|Death at the Dolphin / Killer Dolphin|Police/Detective/Law Enforcement / PD|1966-011966|04
Zelazny, Roger|This Immortal|Science Fiction / SF|1966-011966|04.5
Heinlein, Robert A.|The Moon is a Harsh Mistress|Science Fiction / SF|1966-011966|04.5
Zelazny, Roger|The Doors of His Face, the Lamps of His Mouth and Other Stories|Fantasy / F|1966-011966|04.5
Keyes, Daniel|Flowers for Algernon|Science Fiction / SF|1966-011966|04.5
Hunt, Irene|Up a Road Slowly|General Fiction / GF|1966-011966|03
Malamud, Bernard|The Fixer|General Fiction / GF|1966-011966|04
Porter, Katherine Anne|The Collected Stories of Katherine Anne Porter|General Fiction / GF|1966-011966|03.5
Weik, Mary Hays|The Jazz Man|General Fiction / GF|1966-011966|03
Singer, Isaac Bashevis|Zlateh The Goat and Other Stories|General Fiction / GF|1966-011966|04
Ness, Evaline|Sam, Bangs and Moonshine|General Fiction / GF|1966-09Sep-1966|04
Emberley, Barbara|One Wide River to Cross|Action Adventure / AA|1966-011966|04
Hinton, S.E.|The Outsiders|General Fiction / GF|1967-011967|03.5
Collins, Michael|Act of Fear|Private Investigator / PI|1967-011967|05
Francis, Dick|Blood Sport|Suspense / S|1967-011967|03.5
Thomas, Ross|The Cold War Swap|Suspense / S|1967-011967|04
Hoffman, Lee|The Valdez Horses|Historical / H|1967-011967|00
Levin, Ira|Rosemary's Baby|Horror / HORR|1967-03Mar-1967|04
Snyder, Zilpha Keatley|The Egypt Game|Horror / HORR|1967-011967|04
Zelazny, Roger|Lord of Light|Science Fiction / SF|1967-011967|04
Delany, Samuel R.|The Einstein Intersection|Science Fiction / SF|1967-011967|04
Delany, Samuel R.|Babel-17|Science Fiction / SF|1967-011967|03.5
Niven, Larry|Neutron Star|Science Fiction / SF|1967-011967|04
Styron, William|Confessions of Nat Turner|Literary / L|1967-011967|04
O'Dell, Scott|Black Pearl|General Fiction / GF|1967-011967|04
Haugaard, Erik Christian|Little Fishes|General Fiction / GF|1967-06Jun-1967|00
Konigsburg, E.L.|Jennifer, Hecate, Macbeth, William Mckinley, and Me, Elizabeth|General Fiction / GF|1967-011967|04
Yolen, Jane|The Emperor and the Kite|General Fiction / GF|1967-011967|04
