"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorLowerJaccard record1Value","[0] BookTitleComparatorLowerJaccard record2Value","[0] BookTitleComparatorLowerJaccard record1PreprocessedValue","[0] BookTitleComparatorLowerJaccard record2PreprocessedValue","[0] BookTitleComparatorLowerJaccard similarity","[0] BookTitleComparatorLowerJaccard postproccesedSimilarity","[1] BookAuthorComparatorLowerJaccard record1Value","[1] BookAuthorComparatorLowerJaccard record2Value","[1] BookAuthorComparatorLowerJaccard record1PreprocessedValue","[1] BookAuthorComparatorLowerJaccard record2PreprocessedValue","[1] BookAuthorComparatorLowerJaccard similarity","[1] BookAuthorComparatorLowerJaccard postproccesedSimilarity","[2] BookReleaseDateComparatorWeightedDateSimilarity record1Value","[2] BookReleaseDateComparatorWeightedDateSimilarity record2Value","[2] BookReleaseDateComparatorWeightedDateSimilarity record1PreprocessedValue","[2] BookReleaseDateComparatorWeightedDateSimilarity record2PreprocessedValue","[2] BookReleaseDateComparatorWeightedDateSimilarity similarity","[2] BookReleaseDateComparatorWeightedDateSimilarity postproccesedSimilarity"
"LinearCombinationMatchingRule","wiki_7663","bbe_4285","NaN",,"Shadow Puppets","Shadow Puppets","shadow puppets","shadow puppets","1.0","1.0","Shadow Puppets_Orson Scott Card","Shadow Puppets_Orson Scott Card","Shadow Puppets_Orson Scott Card","Shadow Puppets_Orson Scott Card","1.0","1.0",,,,,,
"LinearCombinationMatchingRule","wiki_2901","bbe_35106","0.0",,"Tentacles","Tempered","tentacles","tempered","0.0","0.0","Tentacles_Roland Smith","Tempered_Karina Cooper","Tentacles_Roland Smith","Tempered_Karina Cooper","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_5853","bbe_36007","0.0",,"Blue","Bloodroot","blue","bloodroot","0.0","0.0","Blue_Danielle Steel","Bloodroot_Amy Greene","Blue_Danielle Steel","Bloodroot_Amy Greene","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_8589","bbe_26366","0.0",,"Parasite","Pasadena","parasite","pasadena","0.0","0.0","Parasite_Seanan McGuire","Pasadena_David Ebershoff","Parasite_Seanan McGuire","Pasadena_David Ebershoff","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_8385","bbe_39632","0.35",,"The Death of Economics","The Death of King Arthur","the death of economics","the death of king arthur","0.5","0.5","The Death of Economics_Paul Ormerod","The Death of King Arthur_Peter Ackroyd","The Death of Economics_Paul Ormerod","The Death of King Arthur_Peter Ackroyd","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10731","bbe_28048","0.0",,"Invasion","Invisible","invasion","invisible","0.0","0.0","Invasion_Dean Koontz","Invisible_Marni Bates","Invasion_Dean Koontz","Invisible_Marni Bates","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_4566","bbe_39318","0.0",,"Triptych","Transcend","triptych","transcend","0.0","0.0","Triptych_J.M. Frey","Transcend_Jewel E. Ann","Triptych_J.M. Frey","Transcend_Jewel E. Ann","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_7422","bbe_6201","0.15555555555555553",,"The Best of L. Sprague de Camp","The Beauty of Darkness","the best of l. sprague de camp","the beauty of darkness","0.2222222222222222","0.2222222222222222","The Best of L. Sprague de Camp_L. Sprague de Camp","The Beauty of Darkness_Mary E. Pearson","The Best of L. Sprague de Camp_L. Sprague de Camp","The Beauty of Darkness_Mary E. Pearson","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_3139","bbe_25777","0.0",,"Quantum","Quest","quantum","quest","0.0","0.0","Quantum_Manjit Kumar","Quest_Andreas Eschbach","Quantum_Manjit Kumar","Quest_Andreas Eschbach","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_7017","bbe_14654","0.0",,"Babel-17","Barabbas","babel-17","barabbas","0.0","0.0","Babel-17_Samuel R. Delany","Barabbas_Pär Lagerkvist","Babel-17_Samuel R. Delany","Barabbas_Pär Lagerkvist","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_9680","bbe_19306","0.7",,"White Heat","White Heat","white heat","white heat","1.0","1.0","White Heat_Marco Pierre White","White Heat_K.M. Grant","White Heat_Marco Pierre White","White Heat_K.M. Grant","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_8916","bbe_21779","0.3",,"The Tragedy of Hamlet, Prince of Denmark","The Tragedy of Arthur","the tragedy of hamlet, prince of denmark","the tragedy of arthur","0.42857142857142855","0.42857142857142855","The Tragedy of Hamlet, Prince of Denmark_William Shakespeare","The Tragedy of Arthur_Arthur Phillips","The Tragedy of Hamlet, Prince of Denmark_William Shakespeare","The Tragedy of Arthur_Arthur Phillips","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_4912","bbe_9105","0.13999999999999999",,"The Measure of a Man: A Spiritual Autobiography","The Memory of Old Jack","the measure of a man: a spiritual autobiography","the memory of old jack","0.2","0.2","The Measure of a Man: A Spiritual Autobiography_Sidney Poitier","The Memory of Old Jack_Wendell Berry","The Measure of a Man: A Spiritual Autobiography_Sidney Poitier","The Memory of Old Jack_Wendell Berry","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_3103","bbe_41933","0.0",,"Unfettered","Unravel","unfettered","unravel","0.0","0.0","Unfettered_Todd Lockwood","Unravel_Imogen Howson","Unfettered_Todd Lockwood","Unravel_Imogen Howson","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_3636","bbe_2134","NaN",,"First Test","First Test","first test","first test","1.0","1.0","First Test_Tamora Pierce","First Test_Tamora Pierce","First Test_Tamora Pierce","First Test_Tamora Pierce","1.0","1.0",,,,,,
"LinearCombinationMatchingRule","wiki_10186","bbe_2096","0.0",,"Dragonrouge","Dreamcatcher","dragonrouge","dreamcatcher","0.0","0.0","Dragonrouge_Lin Carter","Dreamcatcher_Stephen King","Dragonrouge_Lin Carter","Dreamcatcher_Stephen King","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_7473","bbe_38134","0.0",,"Reefer Madness","Rettet Markitta","reefer madness","rettet markitta","0.0","0.0","Reefer Madness_Eric Schlosser","Rettet Markitta_Dagny Larsen","Reefer Madness_Eric Schlosser","Rettet Markitta_Dagny Larsen","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10726","bbe_43257","0.2333333333333333",,"The Secret","The Search","the secret","the search","0.3333333333333333","0.3333333333333333","The Secret_Katherine Applegate","The Search_Gordon Korman","The Secret_Katherine Applegate","The Search_Gordon Korman","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_3613","bbe_23713","0.175",,"The Boy Who Lost Fairyland","The Boy Who Saw True: The Time-Honoured Classic of the Paranormal","the boy who lost fairyland","the boy who saw true: the time-honoured classic of the paranormal","0.25","0.25","The Boy Who Lost Fairyland_Catherynne M. Valente","The Boy Who Saw True: The Time-Honoured Classic of the Paranormal_Cyril Scott","The Boy Who Lost Fairyland_Catherynne M. Valente","The Boy Who Saw True: The Time-Honoured Classic of the Paranormal_Cyril Scott","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_114","bbe_32773","0.0",,"Landslide","Lala","landslide","lala","0.0","0.0","Landslide_Desmond Bagley","Lala_Jacek Dehnel","Landslide_Desmond Bagley","Lala_Jacek Dehnel","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_3741","bbe_9965","0.0",,"Thirteen Bullets","The Burning","thirteen bullets","the burning","0.0","0.0","Thirteen Bullets_David Wellington","The Burning_Kathryn Lasky","Thirteen Bullets_David Wellington","The Burning_Kathryn Lasky","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_8830","bbe_27275","0.0",,"Speedpost","Spinning","speedpost","spinning","0.0","0.0","Speedpost_Shobhaa De","Spinning_Tillie Walden","Speedpost_Shobhaa De","Spinning_Tillie Walden","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_1563","bbe_34939","0.19999999999999998",,"The Dissolution of Nicholas Dee","The Disappearance of Grace","the dissolution of nicholas dee","the disappearance of grace","0.2857142857142857","0.2857142857142857","The Dissolution of Nicholas Dee_Matthew Stadler","The Disappearance of Grace_Vincent Zandri","The Dissolution of Nicholas Dee_Matthew Stadler","The Disappearance of Grace_Vincent Zandri","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_6719","bbe_6728","0.16153846153846155",,"The World Is My Home","The World Is Flat: A Brief History of the Twenty-first Century","the world is my home","the world is flat: a brief history of the twenty-first century","0.23076923076923078","0.23076923076923078","The World Is My Home_James A. Michener","The World Is Flat: A Brief History of the Twenty-first Century_Thomas L. Friedman","The World Is My Home_James A. Michener","The World Is Flat: A Brief History of the Twenty-first Century_Thomas L. Friedman","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_319","bbe_31701","0.0",,"Undercover","Unclaimed","undercover","unclaimed","0.0","0.0","Undercover_Danielle Steel","Unclaimed_Laurie Wetzel","Undercover_Danielle Steel","Unclaimed_Laurie Wetzel","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_9098","bbe_39672","0.2333333333333333",,"The Cast","The Campaigners","the cast","the campaigners","0.3333333333333333","0.3333333333333333","The Cast_Danielle Steel","The Campaigners_Cynthia Harrod-Eagles","The Cast_Danielle Steel","The Campaigners_Cynthia Harrod-Eagles","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_4987","bbe_36683","0.0",,"Blackout","Blindness","blackout","blindness","0.0","0.0","Blackout_Connie Willis","Blindness_Ginger Scott","Blackout_Connie Willis","Blindness_Ginger Scott","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_2184","bbe_4117","NaN",,"Message from Nam","Message from Nam","message from nam","message from nam","1.0","1.0","Message from Nam_Danielle Steel","Message from Nam_Danielle Steel","Message from Nam_Danielle Steel","Message from Nam_Danielle Steel","1.0","1.0",,,,,,
"LinearCombinationMatchingRule","wiki_5853","bbe_2321","0.0",,"Blue","Blankets","blue","blankets","0.0","0.0","Blue_Danielle Steel","Blankets_Craig Thompson","Blue_Danielle Steel","Blankets_Craig Thompson","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_9187","bbe_39766","0.0",,"Promises","Provocative","promises","provocative","0.0","0.0","Promises_Nancy Richardson","Provocative_Alex Lucian","Promises_Nancy Richardson","Provocative_Alex Lucian","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_5782","bbe_8926","0.2333333333333333",,"The Son of Tarzan","The Sovereignty of God","the son of tarzan","the sovereignty of god","0.3333333333333333","0.3333333333333333","The Son of Tarzan_Edgar Rice Burroughs","The Sovereignty of God_Arthur W. Pink","The Son of Tarzan_Edgar Rice Burroughs","The Sovereignty of God_Arthur W. Pink","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_31","bbe_38573","0.3",,"The Adventure of the Singular Sandwich","The Adventure Of The Three Students","the adventure of the singular sandwich","the adventure of the three students","0.42857142857142855","0.42857142857142855","The Adventure of the Singular Sandwich_Basil Copper","The Adventure Of The Three Students_Arthur Conan Doyle","The Adventure of the Singular Sandwich_Basil Copper","The Adventure Of The Three Students_Arthur Conan Doyle","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_8202","bbe_33027","0.2333333333333333",,"The Eye of Zoltar","The Eyes of Darkness","the eye of zoltar","the eyes of darkness","0.3333333333333333","0.3333333333333333","The Eye of Zoltar_Jasper Fforde","The Eyes of Darkness_Dean Koontz","The Eye of Zoltar_Jasper Fforde","The Eyes of Darkness_Dean Koontz","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10204","bbe_44994","0.26249999999999996",,"The Story of a Great Schoomaster","The Story of Arthur Truluv","the story of a great schoomaster","the story of arthur truluv","0.375","0.375","The Story of a Great Schoomaster_H. G. Wells","The Story of Arthur Truluv_Elizabeth Berg","The Story of a Great Schoomaster_H. G. Wells","The Story of Arthur Truluv_Elizabeth Berg","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_206","bbe_11261","0.42",,"A Game of Authors","A Game of Gods","a game of authors","a game of gods","0.6","0.6","A Game of Authors_Frank Herbert","A Game of Gods_K.Hari Kumar","A Game of Authors_Frank Herbert","A Game of Gods_K.Hari Kumar","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_8076","bbe_11026","0.0",,"Shaman","Shadowland","shaman","shadowland","0.0","0.0","Shaman_Kim Stanley Robinson","Shadowland_Peter Straub","Shaman_Kim Stanley Robinson","Shadowland_Peter Straub","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_1790","bbe_6646","0.0",,"Complications","Coriolanus","complications","coriolanus","0.0","0.0","Complications_Danielle Steel","Coriolanus_William Shakespeare","Complications_Danielle Steel","Coriolanus_William Shakespeare","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_1915","bbe_3401","0.0",,"Gojiro","Goddess","gojiro","goddess","0.0","0.0","Gojiro_Mark Jacobson","Goddess_Josephine Angelini","Gojiro_Mark Jacobson","Goddess_Josephine Angelini","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_7785","bbe_24564","0.0",,"Camouflage","Candido","camouflage","candido","0.0","0.0","Camouflage_Joe Haldeman","Candido_Leonardo Sciascia","Camouflage_Joe Haldeman","Candido_Leonardo Sciascia","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_6320","bbe_36714","0.0",,"Cujo","Culmination","cujo","culmination","0.0","0.0","Cujo_Stephen King","Culmination_Julie Morgan","Cujo_Stephen King","Culmination_Julie Morgan","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_8567","bbe_49878","0.0",,"Madonna","Mallory","madonna","mallory","0.0","0.0","Madonna_Andrew Morton","Mallory_James Hadley Chase","Madonna_Andrew Morton","Mallory_James Hadley Chase","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_11114","bbe_49210","0.0",,"Overwinter","Overload","overwinter","overload","0.0","0.0","Overwinter_David Wellington","Overload_Arthur Hailey","Overwinter_David Wellington","Overload_Arthur Hailey","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_2293","bbe_42996","0.11666666666666665",,"The Wallet of Kai Lung","The Water Of Life: A Tale From The Brothers Grimm","the wallet of kai lung","the water of life: a tale from the brothers grimm","0.16666666666666666","0.16666666666666666","The Wallet of Kai Lung_Ernest Bramah","The Water Of Life: A Tale From The Brothers Grimm_Jacob Grimm","The Wallet of Kai Lung_Ernest Bramah","The Water Of Life: A Tale From The Brothers Grimm_Jacob Grimm","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_6467","bbe_534","0.0",,"Unfettered","Unwind","unfettered","unwind","0.0","0.0","Unfettered_Terry Brooks","Unwind_Neal Shusterman","Unfettered_Terry Brooks","Unwind_Neal Shusterman","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10108","bbe_33430","NaN",,"The Sky Village","The Sky Village","the sky village","the sky village","1.0","1.0","The Sky Village_Monk Ashland","The Sky Village_Chris Rettstatt","The Sky Village_Monk Ashland","The Sky Village_Chris Rettstatt","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_3110","bbe_25599","0.0",,"Binti","Birthright","binti","birthright","0.0","0.0","Binti_Nnedi Okorafor","Birthright_Jessica Ruddick","Binti_Nnedi Okorafor","Birthright_Jessica Ruddick","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_7527","bbe_43252","0.175",,"The Best of Arthur C. Clarke","The Beginning Of The Road","the best of arthur c. clarke","the beginning of the road","0.25","0.25","The Best of Arthur C. Clarke_Arthur C. Clarke","The Beginning Of The Road_Vasily Chuikov","The Best of Arthur C. Clarke_Arthur C. Clarke","The Beginning Of The Road_Vasily Chuikov","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_5907","bbe_13030","0.0",,"Pariah","Paprika","pariah","paprika","0.0","0.0","Pariah_Brian Vallée","Paprika_Yasutaka Tsutsui","Pariah_Brian Vallée","Paprika_Yasutaka Tsutsui","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_11041","bbe_1941","0.2333333333333333",,"The Ship of Ishtar","The Shelters of Stone","the ship of ishtar","the shelters of stone","0.3333333333333333","0.3333333333333333","The Ship of Ishtar_Abraham Grace Merritt","The Shelters of Stone_Jean M. Auel","The Ship of Ishtar_Abraham Grace Merritt","The Shelters of Stone_Jean M. Auel","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_7981","bbe_22328","0.0",,"Madonna","Mazeppa","madonna","mazeppa","0.0","0.0","Madonna_Andrew Morton","Mazeppa_Lord Byron","Madonna_Andrew Morton","Mazeppa_Lord Byron","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_2089","bbe_2521","0.19999999999999998",,"The Return of Tarzan","The Retribution of Mara Dyer","the return of tarzan","the retribution of mara dyer","0.2857142857142857","0.2857142857142857","The Return of Tarzan_Edgar Rice Burroughs","The Retribution of Mara Dyer_Michelle Hodkin","The Return of Tarzan_Edgar Rice Burroughs","The Retribution of Mara Dyer_Michelle Hodkin","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_8563","bbe_9068","0.2333333333333333",,"The Corridors of Time","The Conquest of Gaul","the corridors of time","the conquest of gaul","0.3333333333333333","0.3333333333333333","The Corridors of Time_Poul Anderson","The Conquest of Gaul_Gaius Julius Caesar","The Corridors of Time_Poul Anderson","The Conquest of Gaul_Gaius Julius Caesar","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_1642","bbe_16907","0.0",,"Click","Claire","click","claire","0.0","0.0","Click_Margo Lanagan","Claire_Lisi Harrison","Click_Margo Lanagan","Claire_Lisi Harrison","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_5056","bbe_45580","0.0",,"Unfettered","Unleashed","unfettered","unleashed","0.0","0.0","Unfettered_Daniel Abraham","Unleashed_Nancy Holder","Unfettered_Daniel Abraham","Unleashed_Nancy Holder","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_9843","bbe_32050","0.13999999999999999",,"The Return of Depression Economics and the Crisis of 2008","The Recognition of Śakuntalā","the return of depression economics and the crisis of 2008","the recognition of śakuntalā","0.2","0.2","The Return of Depression Economics and the Crisis of 2008_Paul Krugman","The Recognition of Śakuntalā_Kālidāsa","The Return of Depression Economics and the Crisis of 2008_Paul Krugman","The Recognition of Śakuntalā_Kālidāsa","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_7335","bbe_256","0.2333333333333333",,"The Hound of Rowan","The House of the Spirits","the hound of rowan","the house of the spirits","0.3333333333333333","0.3333333333333333","The Hound of Rowan_Henry H. Neff","The House of the Spirits_Isabel Allende","The Hound of Rowan_Henry H. Neff","The House of the Spirits_Isabel Allende","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_2642","bbe_11002","0.0",,"Warrior's Refuge","Warsaw Requiem","warrior's refuge","warsaw requiem","0.0","0.0","Warrior's Refuge_Erin Hunter","Warsaw Requiem_Bodie Thoene","Warrior's Refuge_Erin Hunter","Warsaw Requiem_Bodie Thoene","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_9478","bbe_1546","0.15",,"The Girl Who Soared Over Fairyland and Cut the Moon in Two","The Girl Who Loved Tom Gordon","the girl who soared over fairyland and cut the moon in two","the girl who loved tom gordon","0.21428571428571427","0.21428571428571427","The Girl Who Soared Over Fairyland and Cut the Moon in Two_Catherynne M. Valente","The Girl Who Loved Tom Gordon_Stephen King","The Girl Who Soared Over Fairyland and Cut the Moon in Two_Catherynne M. Valente","The Girl Who Loved Tom Gordon_Stephen King","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10627","bbe_41551","0.09333333333333332",,"The Painter of Signs","The Passion of the Western Mind: Understanding the Ideas that Have Shaped Our World View","the painter of signs","the passion of the western mind: understanding the ideas that have shaped our world view","0.13333333333333333","0.13333333333333333","The Painter of Signs_R. K. Narayan","The Passion of the Western Mind: Understanding the Ideas that Have Shaped Our World View_Richard Tarnas","The Painter of Signs_R. K. Narayan","The Passion of the Western Mind: Understanding the Ideas that Have Shaped Our World View_Richard Tarnas","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_1790","bbe_4400","0.0",,"Complications","Conjured","complications","conjured","0.0","0.0","Complications_Danielle Steel","Conjured_Chelsea Luna","Complications_Danielle Steel","Conjured_Chelsea Luna","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_2071","bbe_14680","0.19999999999999998",,"Reminiscences of a Stock Operator","Reflections Of A Man","reminiscences of a stock operator","reflections of a man","0.2857142857142857","0.2857142857142857","Reminiscences of a Stock Operator_Edwin Lefèvre","Reflections Of A Man_Amari Soul","Reminiscences of a Stock Operator_Edwin Lefèvre","Reflections Of A Man_Amari Soul","0.0","0.0",,,,,,
